,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,_c0,colorful,bright_avg,bright_sd,bright_max,bright_min,saturation_avg,saturation_sd,saturation_max,bsaturation_min,tex_cobtrast,tex_energy,tex_homogeneity,tex_correlation ,tex_dissimilarity,tex_ASM
57,57,57,57,https://scontent.xx.fbcdn.net/v/t45.1600-4/28203640_6084070436299_4210507670362259456_n.png?_nc_cat=0&oh=91a8c37033237f10c67f7a4360e19c45&oe=5B95E63F,54.856126544,66.0798676215,39.299481279,255,0,64.6921278212,72.1896824833,255,0,122.869063287,0.11033852856,0.651898543492,0.960239610622,3.44227369473,0.0121745908848
58,58,58,58,https://scontent.xx.fbcdn.net/v/t45.1600-4/28506479_6084892064099_6988106090617503744_n.png?_nc_cat=0&oh=032d70e9f780b4d2ed2cbc266b8261db&oe=5B875FE3,63.8492386483,102.596835191,66.4464581746,251,15,84.1277906051,66.3032841081,255,0,138.166563963,0.033520253806,0.278798150494,0.984350003551,6.18813714189,0.00112360741522
59,59,59,59,https://scontent.xx.fbcdn.net/v/t45.1600-4/28880381_6098393799596_6680061995242225664_n.png?_nc_cat=0&oh=be64d131ea114f9ac17f3eb505fd50f6&oe=5B8ED334,111.173190553,72.1014568866,60.6527237838,255,0,208.902358218,69.7896355857,255,0,209.302181321,0.210254767695,0.777005348406,0.971553859833,2.91506168906,0.0442070673384
60,60,60,60,https://scontent.xx.fbcdn.net/v/t45.1600-4/30553927_6102707566256_4061797219467001856_n.png?_nc_cat=0&oh=77004fbf0a15701653182e45c1047643&oe=5B5AFB94,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
61,61,61,61,https://scontent.xx.fbcdn.net/v/t45.1600-4/14546737_23842515209040033_6462133786980122624_n.png?_nc_cat=0&oh=5aa31bf406f8f7398b078d39ef9ce468&oe=5B52A856,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
62,62,62,62,https://scontent.xx.fbcdn.net/v/t45.1600-4/14965834_23842531698110033_9163263325302161408_n.png?_nc_cat=0&oh=a1f57ab9f9e6145841609713063e24d4&oe=5B89A0CB,118.02251064,137.316338907,45.5186037598,255,0,193.066510085,65.8206445858,255,0,180.549611407,0.146732627099,0.723624353215,0.956448102658,3.82660709827,0.0215304638555
63,63,63,63,https://scontent.xx.fbcdn.net/v/t45.1600-4/18777005_23842603066030207_4103052592253239296_n.png?_nc_cat=0&oh=275f20e041f0ea6d10e5deba060965cc&oe=5B53E3B0,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
64,64,64,64,https://scontent.xx.fbcdn.net/v/t45.1600-4/21143344_23842621744960059_6069756376660312064_n.png?_nc_cat=0&oh=40180c62f0a80d7e42eaff9732437933&oe=5B85FC07,115.836283626,151.913190021,37.6789785312,255,1,191.334970807,71.7419215251,255,0,155.799910222,0.0773839451515,0.606853003827,0.945172777437,3.65130974326,0.00598827496721
65,65,65,65,https://scontent.xx.fbcdn.net/v/t45.1600-4/19115981_23842632190260702_4125252633961168896_n.png?_nc_cat=0&oh=8785338fa48d91a75a71521d4b611ee3&oe=5B580826,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
66,66,66,66,https://scontent.xx.fbcdn.net/v/t45.1600-4/24295796_23842695939090422_773204781702316032_n.png?_nc_cat=0&oh=28658cd736005317946907d80bc17992&oe=5B591541,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
67,67,67,67,https://scontent.xx.fbcdn.net/v/t45.1600-4/27699776_23842718910200161_8859353028575100928_n.png?_nc_cat=0&oh=06d8c01cdb70fb0ff5d58ca3ba88fdfd&oe=5B51274D,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
68,68,68,68,https://scontent.xx.fbcdn.net/v/t45.1600-4/27056232_23842732015980422_2818961442101788672_n.png?_nc_cat=0&oh=9ed900d4809133d8fad030a5a33535e8&oe=5B5A1F5E,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
69,69,69,69,https://scontent.xx.fbcdn.net/v/t45.1600-4/29851068_23842753038490570_335758235141144576_n.png?_nc_cat=0&oh=9019c894084d3d632cd42bab234efc37&oe=5B589320,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
70,70,70,70,https://scontent.xx.fbcdn.net/v/t45.1600-4/29964491_23842789288380165_3169953260521914368_n.png?_nc_cat=0&oh=1e2763c1086c39bfed5c41611bd9c476&oe=5B9AA670,87.991513771,70.6960323779,59.5532342963,255,0,168.285895701,68.9478746357,255,0,212.802396371,0.0636350301726,0.520978068094,0.970006991661,4.18968832838,0.00404941706506
71,71,71,71,https://scontent.xx.fbcdn.net/v/t45.1600-4/28506334_23842773439680093_8972032968759443456_n.png?_nc_cat=0&oh=4ff6e22e9003ab313c7e6103516d78d7&oe=5B8EB540,22.3157064373,57.5731241415,49.7175764679,255,0,44.922273137,53.4407749541,255,0,79.2756922934,0.062701379856,0.365176411073,0.983964521502,4.66175927964,0.00393146303584
72,72,72,72,https://scontent.xx.fbcdn.net/v/t45.1600-4/27952579_23842790914310787_2751617394282594304_n.png?_nc_cat=0&oh=570b27007a35391f17421c0a16814651&oe=5B9B64F8,108.29739651,104.374421958,71.943489526,255,4,162.301928571,65.6277861932,255,0,215.649685585,0.129787122987,0.775014784007,0.97916891288,2.64191191072,0.0168446972932
73,73,73,73,https://scontent.xx.fbcdn.net/v/t45.1600-4/s110x80/22508905_23842829108780702_7250981213236625408_n.png?_nc_cat=0&oh=8b625e59d04665fe91b78d83e5deccaa&oe=5B4FC672,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
74,74,74,74,https://scontent.xx.fbcdn.net/v/t45.1600-4/31305178_23842838950390691_6933979572723515392_n.png?_nc_cat=0&oh=a275b6ee853449506635214788b20531&oe=5B84329D,15.8968008648,178.764444607,63.9393647879,255,0,30.7532393886,27.9092563886,255,0,59.6731652047,0.046076428766,0.452622723128,0.992706875928,3.61846734893,0.00212303728783
75,75,75,75,https://scontent.xx.fbcdn.net/v/t45.1600-4/31532826_23842843276950056_4471695983230582784_n.png?_nc_cat=0&oh=54e9c26aa1d633f7cc6aade8444d9f31&oe=5B533351,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
76,76,76,76,https://scontent.xx.fbcdn.net/v/t45.1600-4/s110x80/708174_6006437038176_34801_n.jpg?_nc_cat=0&oh=f3df3f8a081d34221bc6591600c1f0f6&oe=5B4F3EF3,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
77,77,77,77,https://scontent.xx.fbcdn.net/v/t45.1600-4/s110x80/1487519_6012097532185_1821986989_n.png?_nc_cat=0&oh=f440f7cf2e482db5804aa232b3d9f640&oe=5B924D72,85.7519326739,207.301383399,48.7633662437,255,54,104.268774704,95.7460269317,255,0,373.719585162,0.101323479044,0.382465578151,0.921457078962,9.32548863183,0.0102664474056
78,78,78,78,https://scontent.xx.fbcdn.net/v/t45.1600-4/11410017_6025851295415_1831018257_n.png?_nc_cat=0&oh=1e3fd99a2e1fd1c1181d50b5596a084b&oe=5B9A7185,61.8091151756,165.554438694,71.5527832378,255,2,114.457173567,82.5925480211,255,0,132.494281328,0.0800555259955,0.562936750237,0.987063468542,3.38573014667,0.00640888724241
79,79,79,79,https://scontent.xx.fbcdn.net/v/t45.1600-4/11410289_6030165244576_377298433_n.png?_nc_cat=0&oh=478acc7a4859102cebd0d7e65290d75c&oe=5B982089,147.744309275,158.372631369,81.5409354339,255,2,151.962404459,112.733273594,255,0,373.548409503,0.362264755827,0.75198129428,0.971907679233,5.52393316086,0.131235753314
